Date,Price,Open,High,Low,Vol.,Change %,,,,,,
19-08-2025,"2,747.40","2,742.70","2,759.00","2,703.00",762.68K,0.30%,,,,,,
18-08-2025,"2,739.20","2,771.40","2,785.90","2,715.30",1.05M,0.65%,,,,,,
14-08-2025,"2,721.40","2,750.10","2,750.80","2,710.00",666.93K,-1.00%,,,,,,
13-08-2025,"2,748.80","2,713.00","2,770.00","2,704.20",1.28M,2.16%,,,,,,
12-08-2025,"2,690.80","2,697.30","2,727.70","2,648.00",1.29M,-0.24%,,,,,,
11-08-2025,"2,697.30","2,636.80","2,755.00","2,624.00",1.92M,2.30%,,,,,,
08-08-2025,"2,636.70","2,789.90","2,789.90","2,623.20",2.30M,-5.32%,,,,,,
07-08-2025,"2,785.00","2,764.00","2,798.00","2,721.10",1.26M,0.74%,,,,,,
06-08-2025,"2,764.50","2,880.00","2,887.90","2,752.00",1.75M,-2.93%,,,,,,
05-08-2025,"2,847.80","2,787.40","2,857.00","2,774.20",1.75M,2.91%,,,,,,
04-08-2025,"2,767.20","2,700.00","2,787.90","2,697.20",1.17M,1.67%,,,,,,
01-08-2025,"2,721.80","2,780.10","2,784.00","2,710.00",1.05M,-1.78%,,,,,,
31-07-2025,"2,771.20","2,723.00","2,811.80","2,707.30",2.11M,0.42%,,,,,,
30-07-2025,"2,759.70","2,728.90","2,768.20","2,710.00",1.55M,1.44%,,,,,,
29-07-2025,"2,720.40","2,695.50","2,767.00","2,645.00",4.59M,-2.49%,,,,,,
28-07-2025,"2,789.90","2,886.00","2,907.70","2,767.00",1.66M,-3.35%,,,,,,
25-07-2025,"2,886.60","2,965.60","2,965.60","2,880.10",1.26M,-2.46%,,,,,,
24-07-2025,"2,959.50","2,932.50","2,977.30","2,922.70",1.22M,1.37%,,,,,,
23-07-2025,"2,919.40","2,941.00","2,945.00","2,871.00",1.38M,-0.08%,,,,,,
22-07-2025,"2,921.80","2,965.00","3,020.00","2,912.00",1.53M,-1.01%,,,,,,
21-07-2025,"2,951.70","2,980.00","2,989.80","2,925.00",1.56M,-1.02%,,,,,,
18-07-2025,"2,982.00","3,056.90","3,090.00","2,972.10",1.21M,-2.17%,,,,,,
17-07-2025,"3,048.00","3,110.00","3,136.50","3,035.30",1.28M,-1.92%,,,,,,
16-07-2025,"3,107.80","3,123.90","3,131.80","3,102.00",589.94K,-0.24%,,,,,,
15-07-2025,"3,115.40","3,122.00","3,149.50","3,095.70",1.02M,0.06%,,,,,,
14-07-2025,"3,113.60","3,148.00","3,148.00","3,092.00",1.19M,-1.92%,,,,,,
11-07-2025,"3,174.50","3,252.00","3,277.00","3,150.00",1.47M,-2.71%,,,,,,
10-07-2025,"3,263.00","3,293.00","3,300.70","3,251.00",799.91K,-0.95%,,,,,,
09-07-2025,"3,294.30","3,294.00","3,326.00","3,283.60",1.12M,0.09%,,,,,,
08-07-2025,"3,291.40","3,264.00","3,308.00","3,242.80",1.11M,0.45%,,,,,,
07-07-2025,"3,276.80","3,320.00","3,325.90","3,261.10",1.06M,-1.57%,,,,,,
04-07-2025,"3,329.00","3,320.00","3,369.00","3,308.20",2.46M,1.26%,,,,,,
03-07-2025,"3,287.60","3,281.00","3,309.30","3,262.00",1.34M,0.29%,,,,,,
02-07-2025,"3,278.20","3,279.90","3,294.80","3,240.00",1.60M,0.10%,,,,,,
01-07-2025,"3,275.00","3,270.00","3,341.00","3,251.50",3.09M,0.95%,,,,,,
30-06-2025,"3,244.30","3,240.00","3,289.00","3,193.00",3.14M,2.21%,,,,,,
27-06-2025,"3,174.00","3,137.00","3,198.70","3,094.00",4.00M,1.67%,,,,,,
26-06-2025,"3,121.90","3,200.00","3,239.90","3,108.90",2.38M,-2.22%,,,,,,
25-06-2025,"3,192.70","3,285.00","3,308.00","3,171.00",1.99M,-2.70%,,,,,,
24-06-2025,"3,281.40","3,359.00","3,369.00","3,262.80",2.15M,-1.83%,,,,,,
23-06-2025,"3,342.60","3,259.00","3,364.00","3,245.00",3.62M,2.65%,,,,,,
20-06-2025,"3,256.40","3,227.00","3,269.00","3,185.00",2.60M,1.02%,,,,,,
19-06-2025,"3,223.50","3,247.00","3,337.00","3,204.80",3.84M,-1.04%,,,,,,
18-06-2025,"3,257.40","3,317.90","3,326.90","3,238.00",2.54M,-1.47%,,,,,,
17-06-2025,"3,305.90","3,165.00","3,343.50","3,152.40",6.85M,4.43%,,,,,,
16-06-2025,"3,165.60","3,210.00","3,250.00","3,077.70",3.04M,-1.09%,,,,,,
13-06-2025,"3,200.40","3,146.10","3,262.50","3,128.10",3.13M,-0.31%,,,,,,
12-06-2025,"3,210.40","3,313.90","3,343.40","3,200.50",2.58M,-3.14%,,,,,,
11-06-2025,"3,314.60","3,408.50","3,414.00","3,285.70",2.16M,-2.45%,,,,,,
10-06-2025,"3,397.70","3,387.80","3,427.00","3,377.30",1.78M,0.85%,,,,,,
09-06-2025,"3,369.10","3,421.80","3,437.40","3,360.00",1.87M,-1.05%,,,,,,
06-06-2025,"3,404.70","3,452.90","3,495.00","3,381.20",3.05M,-0.74%,,,,,,
05-06-2025,"3,430.20","3,433.20","3,464.00","3,379.10",3.77M,0.51%,,,,,,
04-06-2025,"3,412.70","3,462.00","3,548.70","3,405.20",4.77M,-0.75%,,,,,,
