Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
AMZN,Consumer Cyclical,Internet Retail,16.6,74.8,12.4,31.1,-14.9,42.8,31.48,17.15,33.2,50.53,31.64,41.48,1.02,1.33,6.67,4.09,19.5,2947.45,742.78,716.92,28.35,29.7,1.3711,1.4557,False,False,False
AMCR,Consumer Cyclical,Packaging & Containers,77.4,-11.7,10.0,-30.0,8.5,57.1,-18.48,-6.87,-12.41,-14.06,31.91,22.34,-1.06,-0.74,1.56,1.5,10.41,18.15,22.19,15.01,39.83,31.11,1.8857,0.9043,True,True,False
AEE,Utilities,Utilities - Regulated Electric,3.7,19.6,15.4,23.2,22.1,41.7,-2.86,7.24,16.54,65.07,19.59,24.13,0.84,1.04,2.22,6.04,13.47,30.15,8.54,8.8,18.07,15.23,0.2332,0.0505,False,False,False
AEP,Utilities,Utilities - Regulated Electric,10.2,6.7,10.9,20.7,13.3,50.2,-3.45,7.63,28.55,56.35,19.15,23.11,0.93,1.12,2.18,5.44,13.34,69.51,22.43,21.88,19.67,17.88,0.181,0.0619,False,False,False
AXP,Financial Services,Credit Services,11.6,17.6,9.5,7.0,-0.4,20.7,2.83,-12.07,7.8,36.49,19.49,20.85,2.78,2.98,6.32,3.22,,215.01,68.81,72.23,26.53,25.86,0.8438,1.1263,False,False,False
AIG,Financial Services,Insurance - Diversified,1.4,21.6,-1.8,-320.5,0.9,3.8,-7.74,-1.8,-8.99,0.17,13.1,-28.89,-0.04,0.09,0.98,1.46,4.69,39.45,26.7,26.77,22.97,23.72,0.5267,0.2975,False,True,False
AMT,Real Estate,REIT - Specialty,6.8,76.9,5.1,12.2,0.0,4.7,-0.87,8.0,-9.42,7.91,29.87,33.51,2.45,2.75,24.7,12.67,19.62,86.97,10.82,10.64,25.91,23.22,0.3051,0.0282,False,False,False
AWK,Utilities,Utilities - Regulated Water,5.7,-4.8,9.7,5.7,-5.0,-17.6,-9.02,-5.3,-11.28,3.56,21.93,23.18,3.85,4.07,2.16,7.57,13.9,23.89,5.21,5.14,21.2,21.23,-0.4137,-0.4309,True,False,True
AMP,Financial Services,Asset Management,9.0,66.0,7.0,4.8,-3.0,-9.2,-7.13,-2.67,-12.59,5.47,11.04,11.57,2.3,2.41,6.38,1.79,,39.54,19.32,18.48,23.87,24.76,0.7693,1.0623,False,False,True
AME,Industrials,Specialty Industrial Machinery,11.3,14.5,6.6,7.6,-3.5,0.2,-6.48,15.62,26.04,37.01,34.26,36.86,4.51,4.85,4.73,7.06,22.17,51.67,7.6,7.4,27.22,21.79,1.319,0.9253,False,False,False
AMGN,Healthcare,Drug Manufacturers - General,5.8,4.4,10.0,88.5,-12.6,36.5,-12.1,1.15,22.24,20.72,23.37,44.05,0.26,0.5,19.76,6.1,13.41,181.6,37.22,36.75,23.0,27.12,0.757,0.5695,False,False,False
APH,Technology,Electronic Components,58.4,24.1,51.7,76.2,18.3,-22.0,9.48,6.49,67.26,125.55,40.35,71.1,0.53,0.93,12.99,7.57,23.98,181.68,25.9,23.09,49.39,40.49,1.736,1.6989,False,False,True
ADI,Technology,Semiconductors,37.2,110.5,16.9,38.7,14.7,41.6,19.27,58.27,97.17,89.55,62.45,86.62,1.61,2.24,6.05,16.43,34.05,204.09,12.74,11.02,38.32,30.27,1.6225,1.401,False,False,False
